commit,url
ff8228204fa9e40c8d6192ea4977035c0d0494e5,https://github.com/eXparity/hamcrest-date.git
57f317c6c780ddfd0c9adae3a9403eb399d44a91,https://github.com/kungfoo/geohash-java.git
8542db0db72d35f96dfa059f5b1a296ab93e5512,https://github.com/tobyweston/simple-excel.git
2034e62826d3e5d51a2630c3bff3f00f005a5bbe,https://github.com/digitalpetri/ethernet-ip.git
267c95ceb7e15050622d33c0fc57afa1a2e9e835,https://github.com/vert-x3/vertx-jdbc-client.git
716cc81aca318f3cb6ed9bd81bd29f043db77eff,https://github.com/apache/joshua.git
da8b5ad47115375a40d9a9b059cbfee615eb41ca,https://github.com/xjodoin/torpedoquery.git
4a1cd77e827363186ede2748b4cdc37950d9e5b2,https://github.com/vert-x3/vertx-kafka-client.git
cce87e790828cb88dd5c3bfbdcb117d351eb6bbd,https://github.com/redpen-cc/redpen.git
dd2f4977f996d53bd5ddd2d8ea717ebe4e8118f5,https://github.com/killme2008/aviatorscript.git
402acb6e4d8cfb0a1de061811455564176483288,https://github.com/locationtech/jts.git
60b68bc82f089bd3905243caad58d631d842fd87,https://github.com/DanielYWoo/fast-object-pool.git
267c95ceb7e15050622d33c0fc57afa1a2e9e835,https://github.com/vert-x3/vertx-jdbc-client.git
ef4046285382ade31eb101f0b330590c8ed134fc,https://github.com/delirius325/jmeter-elasticsearch-backend-listener.git
d0b2ce5ea0749448b1b3dbb9bef88d7eccd05240,https://github.com/wmixvideo/nfe.git
526f0d418aa41023d50080ac80511123089e0fe2,https://github.com/vert-x3/vertx-codegen.git
12df90579b0951519f4cf49567d9cf9ca3205234,https://github.com/ashwanthkumar/gocd-build-github-pull-requests.git
948edac0a47f85ce0e9f411ecf88dcd570e31c0b,https://github.com/Hygieia/ExecDashboard.git
3c92dcfd7b513fac4485830e3d18bf666773a3cd,https://github.com/knowm/Yank.git
28cc6ab472711da6c2124ad22bd33caa8a78c77c,https://github.com/Esri/spatial-framework-for-hadoop.git
30f7ac3a6c6f7465e00e20c98a20429654c49160,https://github.com/albfernandez/juniversalchardet.git
f2f93cc29321fb117216466430ceec93b3a2780e,https://github.com/hap-java/HAP-Java.git
cddc2a329aca96b3ac483c2e1e24941101183789,https://github.com/nacos-group/nacos-spring-project.git
caed27c4e35d7ba6841024a8a58c5ed33079ddfb,https://github.com/LinShunKang/MyPerf4J.git
be73e89911a0a1155f8c10eeefdc8e383cf53adc,https://github.com/sematext/solr-redis.git
91f8ba7fd92a9a503484a540e5fd3e03f411d98a,https://github.com/3breadt/dd-plist.git
ec871700edd111948b87371d5721126178ec1352,https://github.com/andylamp/BPlusTree.git
b5cb21418cc77795c6ccdd4a55753c6cb4bc8647,https://github.com/opentracing-contrib/java-jdbc.git
451435a5e553457f9bbacb9929ba66210f0f7396,https://github.com/kafka-ops/kafka-topology-builder.git
181d2cbb0364b38168c2f9241280464f41b31c3f,https://github.com/carml/carml.git
d195bea72c60acd4a0f4ec48a7374ca4ea6c47d8,https://github.com/maxcom/lorsource.git
5cc0970ed6a269468c5552bbe0268c64012fae8b,https://github.com/wstrange/GoogleAuth.git
dc818e0ac31c4fd4254065b50a1d7c59f291ca9d,https://github.com/VueGWT/vue-gwt.git
716cc81aca318f3cb6ed9bd81bd29f043db77eff,https://github.com/apache/joshua.git
b5cb21418cc77795c6ccdd4a55753c6cb4bc8647,https://github.com/opentracing-contrib/java-jdbc.git
cddc2a329aca96b3ac483c2e1e24941101183789,https://github.com/nacos-group/nacos-spring-project.git
6cb431f82b41530c35c14f4430e11f3051d82d73,https://github.com/networknt/json-schema-validator.git
5e64028cd82336b34a68c60d314ce1c57b4bf276,https://github.com/spoonlabs/sorald.git
ffc5eeddd64701a86f395aa4fb000160af02c017,https://github.com/verificatum/verificatum-vmn.git
